"[70.3228387   3.09072929  1.12961529 19.55073131  0.9806233   0.50630324
  0.85205459]","[71.05351970280319, 2.6191876757200045, -0.08937585529500838, 19.243501440135198, 0.3223493695678278, -0.5658544477975904, -0.0312223834688918]"
"[50.89355868  4.39399115  0.79306926 19.50490477  0.61810181  1.56348318
  1.24241632]","[51.46738459480423, 3.115144975688849, -0.05818661540082629, 18.442238328281707, -0.10970871450905934, -0.18899908471001237, -0.004497558961893258]"
"[17.65668814  2.69963501  0.81942096 17.06661949  0.52189204  1.54157142
  0.96190265]","[18.350730568417042, 1.2803113865366667, 0.05615667497384781, 16.056821301513388, -0.3979095055917212, 0.3355315009623953, 0.009805560359621854]"
"[39.36764931  5.76491031  0.86751288 18.04823958  0.74476383  1.84370914
  0.94394796]","[40.355094771486414, 4.5782910324675905, -0.1546061503046001, 16.55848582876777, -0.21417102011504596, -0.5653896387157783, -0.036847240633951485]"
"[56.62253993  2.13440041  1.0001444  14.12759954  0.68286527  1.26065082
  1.10117696]","[56.79934543601663, 0.7404138078108305, -0.1275388677000635, 13.207780639900184, -0.20028731391619323, -0.4875167812218595, -0.050851730239057015]"
"[25.18246154  6.93998422  1.27141638 21.70847932  0.50731743  0.8872298
  1.19087468]","[25.948247115168467, 5.069719764334403, 0.05186376111270048, 20.98745811853303, -0.3678154878267602, 0.1413517002941329, 0.05243560707347995]"
"[ 4.6361999   7.28604972  0.77307209 22.24845564  1.40385654  0.54651358
  0.64752924]","[6.025374788698147, 6.569659375575751, -0.11123724685914148, 21.05287537080318, 0.2811670898780314, -0.7565272446185691, -0.0010288924999103859]"
"[43.62011421  5.60394765  0.99587232 20.52781401  1.59447093  1.52922583
  0.80902721]","[44.43634364669565, 5.113080142033743, -0.07238631199085449, 19.644551531073297, 0.28875744730023656, -0.3440709182689022, -0.046711281590264164]"
"[23.51340688  2.73923787  1.07291696 13.6410672   0.71297718  0.47528084
  0.66550758]","[23.87256545790701, 1.4619617814646977, 0.020490159810792566, 12.371365341223814, -0.1515089494173814, 0.01924946081030552, 0.010158597571119383]"
"[30.63063147  1.88862052  0.67536695 19.17602341  0.5298981   0.62925783
  1.00054074]","[31.473899550099983, 0.31448478712631295, -0.1569195769105227, 18.12065781992228, -0.3797200508510166, -0.9972969626910518, -0.014137797512721262]"
"[84.01291237  4.82019038  0.8338953  19.11786553  1.3518822   1.24819614
  1.13456366]","[84.92062141304767, 4.479688566569281, 0.10398457945447014, 17.996041719950735, 0.3016508430670623, 0.5219653519678743, 0.03143087880671157]"
"[70.30352311  2.20940059  1.14541941 18.63934164  0.82815317  1.178242
  0.77970826]","[71.01451469619022, 1.1066692290097595, 0.08709771076332283, 17.73052289854164, -0.025441025114583963, 0.3897608843892163, 0.0047573997593223765]"
"[41.85089786  2.38103203  0.99696244 21.72164469  0.68591888  1.14125653
  1.08416166]","[42.96342255256379, 1.3927887729247246, 0.08947309360045916, 21.098693094112093, -0.07520457837763907, 0.44395225562264545, 0.03904332450934875]"
"[ 6.57844668  3.89869913  1.18560063 17.81985546  0.48781811  1.52415452
  1.07503789]","[7.287178367874542, 2.538020567861719, 0.10789275540599429, 17.282904843494542, -0.25406553236439244, 0.6659449220382792, -0.007090881732448061]"
"[56.63783901  0.99389092  0.83856088 14.41365894  1.46197055  1.55960056
  0.77314561]","[56.97901969642132, 0.46640554948207186, 0.005499075408573044, 13.217733676134797, 0.33963803581542984, 0.07691557756509967, -0.01863642272274125]"
"[10.4019508   4.47507929  0.79145375 14.5700655   0.58762921  1.92046976
  0.80770082]","[11.002075043362156, 3.537079759391914, -0.09816290444868644, 13.751692514110122, -0.12866174906441288, -0.28490443938932936, -0.053629816072876424]"
"[23.32455979  6.30413249  0.90510266 21.08158889  0.48685705  0.62302037
  1.04346337]","[24.158646256414833, 4.426828803817215, -0.007144148903583015, 20.206669753450146, -0.388515084059989, -0.222846805568223, -0.004356706187672539]"
"[60.85838928  1.44264125  0.70067662 21.34063842  1.13366487  0.83160784
  1.30399526]","[62.01822154600341, 0.3954772706343952, 0.050969193450255815, 20.62131559882662, 0.028822306695508684, 0.08879884912926814, -0.00927613453160937]"
"[43.2174008   4.04492072  0.65356138 13.87005306  1.57897487  0.8357844
  0.87770572]","[43.51675407739517, 3.236519984090965, -0.08959909489765384, 12.82574484937768, 0.11743089453014838, -0.4345595376421785, -0.02077903756215692]"
"[81.20135538  2.01134157  1.35085435 15.01691334  1.21579981  0.87625631
  1.09188552]","[81.9304298550186, 1.4470467959142543, 0.09291537969121294, 14.401806851395532, 0.2208621717267453, 0.3631680250126259, 0.03412188281391395]"
"[61.82240118  2.38815735  0.79135576 21.17691957  1.28512544  1.88884177
  0.90486357]","[62.98580301594056, 1.7580841334542148, -0.1266261464575486, 20.623366977267278, 0.169682382765455, -0.44781508082948435, -0.054997270470809295]"
"[12.76176974  1.21728772  1.26087819 21.85749522  1.50661259  0.84358187
  0.64551171]","[13.862873508297296, 0.9123126719750049, 0.14586102506427875, 20.504693162135826, 0.3052893317735703, 0.5768933653649831, 0.012906627584940334]"
"[76.14228352  4.85971632  1.0443469  13.51129062  1.35999919  0.99540482
  0.67315239]","[76.1162350074641, 3.857695460891699, -0.13760734610463193, 12.632040128150125, 0.22623444609632573, -0.539359622103573, -0.054562075419065444]"
"[75.20464912  6.42837319  1.31672479 17.99399894  0.61391078  0.56410502
  1.1574979 ]","[76.21759900788236, 5.241549192558712, 0.014163875858014027, 17.06171468481324, -0.3412465297817113, -0.08698233824921822, 0.029275606755408308]"
"[39.31877037  1.34174264  0.88079224 15.42196681  0.79909056  1.49617766
  1.20281597]","[39.70212793210353, 0.7267527965571635, -0.13322651570459743, 14.342571609673838, 0.3883372038177763, -0.43770746990607357, -0.030433526485216293]"
"[48.81559384  5.60461619  1.38061336 20.23718445  1.06200742  0.12920137
  0.55629428]","[49.404078123923135, 4.743436819795762, -0.003296324713283767, 19.51865747095564, 0.0504255757871393, -0.2874915074544707, -0.006801510388551903]"
"[67.61901751  6.7709373   1.23414327 18.57616674  0.27478411  1.71640986
  1.12523562]","[68.09617166147909, 5.158178113507713, 0.05264964914690616, 17.954256321791377, -0.25310590950769174, 0.4328248350656485, -0.020994966962958703]"
"[62.17687657  3.25030717  0.96080172 14.90050691  1.18316152  0.33203479
  0.8513653 ]","[62.6073574090946, 2.9887326515267705, 0.11670662518539197, 13.917589577910075, 0.3876017125393261, 0.31858909365939975, 0.05477986309160562]"
"[84.15262756  3.85549295  1.51548862 18.40330435  1.13760562  1.0713727
  1.21333732]","[85.24965985338856, 3.1931109298419713, 0.15497780635418534, 17.75331675002766, 0.013532476217332669, 0.6459815151970348, 0.02857630784614805]"
"[ 8.89994688  2.59666037  1.14204707 16.0822891   1.20543301  1.82931555
  0.99768496]","[9.289369833750833, 1.701601737938909, 0.10879019793301457, 14.821574903554636, 0.23607042348450558, 0.5828493485033162, 0.005056953229498475]"
"[82.27342161  3.03202666  1.12098221 16.31589438  1.34112019  1.5651515
  0.75798976]","[82.96155155228607, 2.265771465885102, 0.18234282289752468, 15.174534784541425, 0.43376952781846045, 0.8069985096131828, 0.022243437036611576]"
"[76.33041517  5.65920147  1.30079074 19.32436071  1.46145214  0.72335561
  1.22062374]","[77.15685667827653, 5.483924509138426, 0.16565760880040317, 18.466514488874317, 0.3273082507743626, 0.6607486866741104, 0.05049356649648582]"
