init,next
"[40.09425282  2.31541759  0.86013374 14.97880178  0.45204854  0.95039622
  1.24157713]","[40.39017449  3.77055212  0.86013374 14.97880178  0.73741654  4.03731965
  0.48774117]"
"[ 6.14995933  5.04804486  0.82464843 14.8770186   0.38757704  0.55117696
  1.35867793]","[ 6.47019052  6.47977162  0.82464843 14.8770186   0.64139207  3.77076243
  0.51510167]"
"[15.7610274   6.19956391  1.09563909 15.40683454  0.15657545  0.34116233
  1.36224556]","[16.30738767  7.62599768  1.09563909 15.40683454  0.47739928  5.01674413
  0.59245707]"
"[68.65573292  3.47446155  0.90984371 17.72243271  0.79193792  1.12498547
  1.31634508]","[68.25217662  5.18458145  0.90984371 17.72243271  1.12077481  4.7351714
  0.53375962]"
"[7.21909457e+01 4.48319820e+00 8.49432013e-01 1.95858121e+01
 3.44684232e-02 4.30232772e-01 1.36254191e+00]","[73.11859458  6.1841861   0.84943201 19.5858121   0.31475203  4.45091959
  0.57558017]"
"[65.42130337  2.43134379  1.16328638 19.44525213  0.71315956  0.76505985
  1.35209665]","[64.93945162  4.3045313   1.16328638 19.44525213  1.10681784  6.13182686
  0.61015046]"
"[29.90311621  4.57825018  1.17979876 13.87179803  0.21980723  1.10008201
  1.19212018]","[30.41002816  5.86469174  1.17979876 13.87179803  0.58845932  5.2384514
  0.55405783]"
"[43.91391337  6.83368094  0.88060783 14.71942356  0.28071175  0.46017242
  1.18921612]","[44.48675431  8.17708766  0.88060783 14.71942356  0.5438456   3.97204807
  0.49036308]"
"[55.59394209  3.63502388  1.11346812 17.70466753  0.84510032  1.14239418
  1.1750223 ]","[55.14678428  5.34266401  1.11346812 17.70466753  1.23385111  5.72241473
  0.53053024]"
"[ 2.6070821   5.57457865  1.15373944 19.49061855  0.86239236  0.82652208
  1.25134397]","[ 1.96170185  7.40620719  1.15373944 19.49061855  1.25719098  6.11092459
  0.57339067]"
"[5.50197151e+01 4.88937822e+00 8.57245715e-01 1.46526611e+01
 2.10680308e-02 1.16271068e+00 1.24575922e+00]","[55.8776411   6.06073077  0.85724572 14.65266114  0.31413887  4.02045731
  0.48085903]"
"[20.15551948  1.21952839  0.90594752 15.49344874  0.22517218  0.88061537
  1.17570721]","[20.81668174  2.61007064  0.90594752 15.49344874  0.52334956  4.30913512
  0.48762619]"
"[19.21550674  2.37744931  1.11890283 17.8905648   0.24780685  1.82797815
  1.21213338]","[19.75798163  4.07662194  1.11890283 17.8905648   0.67938859  5.98597362
  0.52228976]"
"[15.45848628  6.22839828  1.14960446 13.87558554  0.37255013  1.24012089
  1.2246694 ]","[15.75121829  7.57905334  1.14960446 13.87558554  0.7403537   5.14053323
  0.54967362]"
"[64.1487763   2.1812115   1.1213797  13.56984627  0.95420308  1.33233189
  1.21185826]","[63.6842157   3.45035839  1.1213797  13.56984627  1.31567053  4.96838027
  0.53743471]"
"[12.61748691  1.7309786   0.88084125 16.38219037  0.40937572  0.56837496
  1.21071815]","[13.00520473  3.31003155  0.88084125 16.38219037  0.6896112   4.24852576
  0.50420336]"
